vehicle_id,priority_rank,mark,model,generation,restyling,body_type,year_from,year_to,origin_category,vehicle_type_category,ads_count,avg_price_inflation_adj,avg_age,score_origin,score_type,score_ads,score_price,score_age,priority_score,has_real_metrics,ready_for_3d_search,length_mm,width_mm,height_mm,wheelbase_mm,ground_clearance_mm,dimensions_source_url,model_3d_status,model_3d_source,model_file_path,format,scale_check_status,materials_editable,data_quality_note
toyota_corolla_g12_r1_universal,20,toyota,Corolla,12,1,универсал,2022,2025,локализованные,легковые,255977.0,497347.80917285546,2.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.9814814814814815,0.706914896596311,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g12_r1_xetchbek 5 dv,21,toyota,Corolla,12,1,хэтчбек 5 дв.,2022,2025,локализованные,легковые,255977.0,497347.80917285546,2.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.9814814814814815,0.706914896596311,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g12_r0_universal,22,toyota,Corolla,12,0,универсал,2018,2025,локализованные,легковые,255977.0,497347.80917285546,5.026315789473684,0.6,1.0,0.9125446955356156,0.00420383042839267,0.9580896686159844,0.7045757153097613,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g12_r0_sedan,23,toyota,Corolla,12,0,седан,2018,2025,локализованные,легковые,255977.0,497347.80917285546,5.195945945945946,0.6,1.0,0.9125446955356156,0.00420383042839267,0.956519019019019,0.7044186503500647,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g12_r0_xetchbek 5 dv,24,toyota,Corolla,12,0,хэтчбек 5 дв.,2018,2025,локализованные,легковые,255977.0,497347.80917285546,5.4423076923076925,0.6,1.0,0.9125446955356156,0.00420383042839267,0.9542378917378918,0.7041905376219519,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g11_r1_sedan,25,toyota,Corolla,11,1,седан,2016,2022,локализованные,легковые,255977.0,497347.80917285546,7.852941176470588,0.6,1.0,0.9125446955356156,0.00420383042839267,0.931917211328976,0.7019584695810605,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g11_r0_sedan,26,toyota,Corolla,11,0,седан,2012,2018,локализованные,легковые,255977.0,497347.80917285546,11.333333333333334,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8996913580246914,0.6987358842506319,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_2112_g1_r0_xetchbek 3 dv,27,lada,2112,1,0,хэтчбек 3 дв.,2002,2009,да,легковые,130258.0,137784.34114818287,20.5,1.0,1.0,0.46436299726568486,0.0011646216092478174,0.8148148148148149,0.6977469240392898,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_2112_g1_r0_xetchbek 5 dv,28,lada,2112,1,0,хэтчбек 5 дв.,1999,2008,да,легковые,130258.0,137784.34114818287,22.5,1.0,1.0,0.46436299726568486,0.0011646216092478174,0.7962962962962963,0.695895072187438,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g10_r1_sedan,29,toyota,Corolla,10,1,седан,2010,2013,локализованные,легковые,255977.0,497347.80917285546,14.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8703703703703703,0.6958037854851998,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_2115 samara_g1_r0_sedan,30,lada,2115 Самара,1,0,седан,1997,2013,да,легковые,125596.0,139497.78595751457,21.0,1.0,1.0,0.447743209665287,0.0011791044948542093,0.8101851851851851,0.6931311866090684,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g10_r0_sedan,31,toyota,Corolla,10,0,седан,2006,2010,локализованные,легковые,255977.0,497347.80917285546,17.813953488372093,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8396856158484065,0.6927353100330035,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r1_universal,32,toyota,Corolla,9,1,универсал,2004,2007,локализованные,легковые,255977.0,497347.80917285546,20.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8148148148148149,0.6902482299296443,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r1_xetchbek 3 dv,33,toyota,Corolla,9,1,хэтчбек 3 дв.,2004,2007,локализованные,легковые,255977.0,497347.80917285546,20.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8148148148148149,0.6902482299296443,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r1_xetchbek 5 dv,34,toyota,Corolla,9,1,хэтчбек 5 дв.,2004,2007,локализованные,легковые,255977.0,497347.80917285546,20.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8148148148148149,0.6902482299296443,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r2_sedan,35,toyota,Corolla,9,2,седан,2004,2006,локализованные,легковые,255977.0,497347.80917285546,21.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.8101851851851851,0.6897852669666813,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r1_sedan,36,toyota,Corolla,9,1,седан,2002,2007,локализованные,легковые,255977.0,497347.80917285546,22.61038961038961,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7952741702741702,0.6882941654755799,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r0_xetchbek 5 dv,37,toyota,Corolla,9,0,хэтчбек 5 дв.,2000,2005,локализованные,легковые,255977.0,497347.80917285546,23.761904761904763,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7846119929453262,0.6872279477426955,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r0_universal,38,toyota,Corolla,9,0,универсал,2000,2005,локализованные,легковые,255977.0,497347.80917285546,23.916666666666668,0.6,1.0,0.9125446955356156,0.00420383042839267,0.783179012345679,0.6870846496827308,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r0_xetchbek 3 dv,39,toyota,Corolla,9,0,хэтчбек 3 дв.,2000,2005,локализованные,легковые,255977.0,497347.80917285546,23.923076923076923,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7831196581196581,0.6870787142601287,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g9_r0_sedan,40,toyota,Corolla,9,0,седан,2000,2007,локализованные,легковые,255977.0,497347.80917285546,24.331818181818182,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7793350168350168,0.6867002501316645,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r1_xetchbek 3 dv,41,toyota,Corolla,8,1,хэтчбек 3 дв.,1999,2001,локализованные,легковые,255977.0,497347.80917285546,26.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7638888888888888,0.6851556373370518,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r1_xetchbek 5 dv,42,toyota,Corolla,8,1,хэтчбек 5 дв.,1999,2001,локализованные,легковые,255977.0,497347.80917285546,26.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7638888888888888,0.6851556373370518,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r1_universal,43,toyota,Corolla,8,1,универсал,1999,2001,локализованные,легковые,255977.0,497347.80917285546,26.0,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7638888888888888,0.6851556373370518,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r1_sedan,44,toyota,Corolla,8,1,седан,1997,2001,локализованные,легковые,255977.0,497347.80917285546,26.9140625,0.6,1.0,0.9125446955356156,0.00420383042839267,0.7554253472222222,0.684309283170385,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r2_sedan,45,lada,Гранта,1,2,седан,2018,2025,да,легковые,97837.0,405499.64464486856,4.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.962962962962963,0.684006373419384,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r2_liftbek,46,lada,Гранта,1,2,лифтбек,2018,2025,да,легковые,97837.0,405499.64464486856,4.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.962962962962963,0.684006373419384,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r0_xetchbek 5 dv,47,toyota,Corolla,8,0,хэтчбек 5 дв.,1997,2000,локализованные,легковые,255977.0,497347.80917285546,27.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.75,0.6837667484481629,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r0_xetchbek 3 dv,48,toyota,Corolla,8,0,хэтчбек 3 дв.,1997,2000,локализованные,легковые,255977.0,497347.80917285546,27.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.75,0.6837667484481629,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g8_r0_universal,49,toyota,Corolla,8,0,универсал,1997,2000,локализованные,легковые,255977.0,497347.80917285546,27.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.75,0.6837667484481629,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
toyota_corolla_g7_r3_universal,50,toyota,Corolla,7,3,универсал,1997,2000,локализованные,легковые,255977.0,497347.80917285546,27.5,0.6,1.0,0.9125446955356156,0.00420383042839267,0.75,0.6837667484481629,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
lada_granta_g1_r2_universal,51,lada,Гранта,1,2,универсал,2018,2023,да,легковые,97837.0,405499.64464486856,5.5,1.0,1.0,0.34878381798801467,0.0034274841738933925,0.9537037037037037,0.683080447493458,True,True,,,,,,,нет,,,,,,Использованы реальные метрики из файла объявлений.
